#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
202,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
203,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
204,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
205,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
206,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
207,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
208,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
209,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
210,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
211,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
212,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
213,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
214,"FOCUS (feat. KYE) - Night Tales Remix","Bipolar Sunshine,KYE,Night Tales",37,120,"gauze pop, australian r&b, australian dance","gauze pop, australian r&b, australian dance","FOCUS (feat. KYE) [Night Tales Remix]",2023-09-22,03:00,61,90,21,0,56,0,10,-7,C♯/D♭ Minor,4,2024-01-18,6QK2uSdZb8oh9T5O3KeHR4,"Noize Records",12A,https://p.scdn.co/mp3-preview/12b3e1297b5b2d33d5c7ead27ba63841bf57fa8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b00fe6732e17bc298ebc3a1e
215,"Holding Me Like Water - Juno Mamba Remix","Lastlings,Juno Mamba",35,129,"vapor soul, ","vapor soul, ","Perfect World Remixes Vol. 2",2023-11-16,04:09,62,77,22,88,19,0,10,-8,G Minor,4,2024-01-18,3GgMbVefHuwM1J8kwvrAHL,"Rose Avenue",6A,https://p.scdn.co/mp3-preview/a91a4d3320f542fdff8986d4113dd7836bd2991f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e38a2b0ed6b447fa16a26c47
216,"Holding Me Like Water - Juno Mamba Remix","Lastlings,Juno Mamba",35,129,"vapor soul, ","vapor soul, ","Perfect World Remixes Vol. 2",2023-11-16,04:09,62,77,22,88,19,0,10,-8,G Minor,4,2024-01-18,3GgMbVefHuwM1J8kwvrAHL,"Rose Avenue",6A,https://p.scdn.co/mp3-preview/a91a4d3320f542fdff8986d4113dd7836bd2991f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e38a2b0ed6b447fa16a26c47
217,"Holding Me Like Water - Juno Mamba Remix","Lastlings,Juno Mamba",35,129,"vapor soul, ","vapor soul, ","Perfect World Remixes Vol. 2",2023-11-16,04:09,62,77,22,88,19,0,10,-8,G Minor,4,2024-01-18,3GgMbVefHuwM1J8kwvrAHL,"Rose Avenue",6A,https://p.scdn.co/mp3-preview/a91a4d3320f542fdff8986d4113dd7836bd2991f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e38a2b0ed6b447fa16a26c47
218,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
219,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
220,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
221,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
222,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
223,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
224,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
225,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
226,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
227,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
228,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
229,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
230,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
231,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
232,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
233,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
234,"Pour It Out","Slow Magic,Beacon Bloom",32,122,"chillwave, gauze pop, vapor twitch, ","chillwave, gauze pop, vapor twitch, ","Pour It Out",2023-10-06,03:48,66,74,6,1,14,0,0,-9,A Minor,4,2024-01-18,7M7zjcgWc3ekrweNu3lKj7,"Slow Magic",8A,https://p.scdn.co/mp3-preview/57c72f3bde3530ff9242ffe92fd80bd5693921fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d7430fd92beac589c0b85c3
235,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
236,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
237,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
238,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
239,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
240,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
241,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
242,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
243,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
244,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
245,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
246,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
247,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
248,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
249,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
250,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
251,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
252,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
253,"SET ME FREE","Angrybaby",47,132,"stutter house","stutter house","SET ME FREE",2023-10-06,03:07,68,79,8,0,13,0,10,-7,E Minor,4,2024-01-18,5kVwOShLwLmUq0s1NrsRvy,"TH3RD BRAIN",9A,https://p.scdn.co/mp3-preview/7c6298fa4ad85ffe000194fbf6bb590c70ca2318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512bc531ff011de0135ab243bc
254,"Home","Vandelux",35,130,"stutter house","stutter house","When The Light Breaks",2023-09-15,02:40,76,64,34,79,54,0,40,-5,C Major,4,2024-01-18,1XgoqMu0m2YWJtNT6Sn1cX,"TH3RD BRAIN",8B,https://p.scdn.co/mp3-preview/11e238190bf296ae5e985e19eda322159ee54224?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851601463279811a8b9be5408c8
255,"Home","Vandelux",35,130,"stutter house","stutter house","When The Light Breaks",2023-09-15,02:40,76,64,34,79,54,0,40,-5,C Major,4,2024-01-18,1XgoqMu0m2YWJtNT6Sn1cX,"TH3RD BRAIN",8B,https://p.scdn.co/mp3-preview/11e238190bf296ae5e985e19eda322159ee54224?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851601463279811a8b9be5408c8
