#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview,duration_ms,release_year
14,Bul Beni,Ezhel,63,104,"turkish hip hop, turkish trap",Hip Hop,Bul Beni,2021-07-02,02:34,56,54,52,0,33,30,10,-8,F#/G♭ Minor,4,2024-01-18,6ipyu0Am4avjFkBcFAhVAz,Koal Arts GmbH,11A,https://p.scdn.co/mp3-preview/fdca1e16a00628720537088b0f36e5e2c4bb2667?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b42e100079c0b3132d3ed25,154173,2021
15,We Are The People,Empire of the Sun,56,123,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop","Electronic, Pop, Rock",Walking On A Dream,2008-01-01,04:27,67,79,10,2,55,0,40,-5,E Minor,4,2024-01-18,6DG1vjbBFKJWVeihm4hK0X,Capitol Records,9A,,https://i.scdn.co/image/ab67616d000048519c30bcc6da94b735333ca85a,267354,2008
16,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone,Ozzy Osbourne,Travis Scott",78,140,"dfw rap, melodic rap, pop, rap, album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, rock, hip hop, slap house","Rock, Metal, Hip Hop, Pop, Electronic",Hollywood's Bleeding,2019-09-06,03:49,50,80,9,0,27,0,10,-3,C♯/D♭ Minor,4,2024-01-18,7CZyCXKG6d5ALeq41sLzbw,Republic Records,12A,,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02,229573,2019
17,Heveslenmem,Lil Zey,59,122,"turkce kadin rap, turkish hip hop, turkish trap",Hip Hop,Heveslenmem,2020-03-06,03:00,76,51,48,0,52,0,0,-7,G#/A♭ Minor,4,2024-01-18,1KzBkHudZtJqwAyrr3eExZ,RedKeys Music,1A,https://p.scdn.co/mp3-preview/7b849045eb3195a4b1798beab1ab8cb256c91459?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ebfe13163aec18c930fcf6d4,180983,2020
18,sana dönmem imkansız,"sevimo.,Mela Bedel",51,88,,,kalp kırıkları & sedatifler,2021-02-26,03:47,58,61,13,0,44,0,20,-7,F#/G♭ Minor,4,2024-01-18,7ph61dzwt1IgoswCZMebeE,Mo Records,11A,https://p.scdn.co/mp3-preview/ca18062d796da32742d01d844067f245d3e016b5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485120d1d8f38d0bdefe0b556be1,227151,2021
19,Pusulam Rüzgar,"Melike Şahin,Mert Demir",67,116,"turkish alt pop, turkish pop, turkish singer-songwriter",Pop,Pusulam Rüzgar,2021-09-24,04:08,70,35,62,0,42,0,10,-11,C♯/D♭ Minor,4,2024-01-18,5pGxanWKWR7ZgHJ4C385DF,Diva Bebe Records,12A,https://p.scdn.co/mp3-preview/65e2e05e5a8ecbdf26d1497380778377f1884856?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cdf8edd541b557119f858e0e,248755,2021
20,Makina,UZI,66,110,"turkish hip hop, turkish trap",Hip Hop,Kan,2021-03-19,03:31,77,65,51,0,25,20,10,-7,F Minor,4,2024-01-18,5jvhTc0g18kwYQNUJM5C4e,M.O.B. Entertainment,4A,https://p.scdn.co/mp3-preview/27ab6f738e8bbb6be4225f2e10886883ef760381?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485167c738a703dc979f5c3c52ef,211016,2021
21,Sakladığın Bir Şeyler Var,Dedublüman,75,100,turkce slow sarkilar,Pop,Sakladığın Bir Şeyler Var,2021-07-16,03:16,47,84,19,0,41,0,0,-8,C♯/D♭ Minor,4,2024-01-18,6t18CcJVpnFAoWfcZxiZtk,AVRUPA MÜZİK YAPIM,12A,https://p.scdn.co/mp3-preview/2807eaf6997f85b9af4868aa86304139ab9af297?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b7b7dacc44acdcafb69a1a2,196800,2021
22,Diğer Yarım,ATE,71,95,turkish hip hop,Hip Hop,Diğer Yarım,2022-07-08,02:22,68,76,13,0,28,10,0,-7,C♯/D♭ Minor,4,2024-01-18,38QSynLcDBfbETORhSsssH,ATE,12A,https://p.scdn.co/mp3-preview/aaf5ceeff9ae62a73355e183908ba196f21be1f3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513bac928c843195698a3f283c,142853,2022
23,Mayrig,Ezhel,53,160,"turkish hip hop, turkish trap",Hip Hop,Mayrig,2021-09-17,03:17,79,66,37,0,70,10,10,-8,F#/G♭ Minor,4,2024-01-18,7vHt2462X3GJflTVK57ECX,Koal Arts GmbH,11A,https://p.scdn.co/mp3-preview/8da4e3c3778198789e7633f8b68a3b9b9dbef0b3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512b1ea16d0fcaa115817c83ad,197093,2021
24,Link UP,"Ezhel,Kelvyn Colt",44,140,"turkish hip hop, turkish trap, ",Hip Hop,Link UP,2020-11-20,03:14,85,60,40,0,50,10,10,-6,A Major,4,2024-01-18,6nChqhmpkfAPKuVw8KYUEr,TBHG Records & KOAL,11B,https://p.scdn.co/mp3-preview/8f31ff64e36349476bef0340618a0acf87a55559?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cece42c5eb2823e9a2a1f1eb,194084,2020
25,Beyaz Skandalım,Emir Can İğrek,68,90,turkish alt pop,turkish alt pop,Ağır Roman,2018-11-07,03:35,44,66,28,0,77,0,20,-8,D Minor,4,2024-01-18,7gI0722sWUhVpI0xOpejmZ,Hypers,7A,https://p.scdn.co/mp3-preview/eb98c5377dc342df0ce84610b701a730242df31d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512a4cb84689db2c6c6f4a4856,215488,2018
26,Ne Zamandır Sendeyim,Madrigal,66,100,"turkish alt pop, turkish rock","Pop, Rock",Neogazino,2021-04-09,03:21,60,58,21,85,76,0,30,-12,D#/E♭ Minor,4,2024-01-18,0OVHDxpCVbxobwNC4asBk1,Madrigal,2A,https://p.scdn.co/mp3-preview/f9262a388beb2f4db50052ec81d6a4133fabf662?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485101f420bb7b73ea2f9e2a6921,201967,2021
27,Seni Gördüm Rüyamda,"Canozan,Şenceylik",64,97,"turkish alt pop, turkish alternative rock, turkish rock","Pop, Rock",Seni Gördüm Rüyamda,2019-12-06,03:30,70,53,68,0,44,0,0,-10,C Minor,4,2024-01-18,51nhV18m4MqRoOOnEVBHNA,AVRUPA MÜZİK YAPIM,5A,https://p.scdn.co/mp3-preview/b39baeafee7a5314c7e7713169b10d2f7632210e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485100b10bf0c375c380d795155d,210309,2019
